,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,port alfred,68,ZA,1547941619,97,-33.59,26.89,290.532,3.77
1,kirovskiy,44,RU,1547941620,75,45.09,133.51,256.782,2.52
2,buala,44,SB,1547941620,91,-8.15,159.59,302.157,1.57
3,jardim,48,BR,1547941386,69,-21.48,-56.15,299.557,2.92
4,yellowknife,75,CA,1547938800,76,62.45,-114.38,249.15,8.2
5,cidreira,100,BR,1547941621,96,-30.17,-50.22,294.107,6.12
6,mataura,80,NZ,1547941621,66,-46.19,168.86,289.907,11.92
7,kjollefjord,76,NO,1547941621,84,70.95,27.35,264.782,3.57
8,hofn,8,IS,1547941622,100,64.25,-15.21,277.107,10.67
9,kidal,0,ML,1547941622,18,18.44,1.41,285.782,5.62
10,rikitea,64,PF,1547941623,100,-23.12,-134.97,299.782,4.77
11,lagoa,20,PT,1547938800,93,37.14,-8.45,287.15,4.1
12,torbay,5,CA,1547938800,73,47.66,-52.73,268.15,4.6
13,hermanus,0,ZA,1547941624,92,-34.42,19.24,282.232,2.32
14,cape town,0,ZA,1547938800,59,-33.93,18.42,289.15,9.8
15,faanui,24,PF,1547941372,100,-16.48,-151.75,301.557,5.62
16,virginia beach,90,US,1547940900,86,36.85,-75.98,285.35,5.1
17,mahebourg,75,MU,1547938800,94,-20.41,57.7,298.15,1.5
18,dikson,64,RU,1547941625,100,73.51,80.55,260.207,4.07
19,grand gaube,75,MU,1547938800,94,-20.01,57.66,298.15,1.5
20,tiksi,32,RU,1547941625,0,71.64,128.87,229.357,1.17
21,palembang,20,ID,1547938800,94,-2.99,104.76,298.15,3.6
22,atuona,92,PF,1547941626,100,-9.8,-139.03,299.207,7.42
23,saint-philippe,90,CA,1547940900,77,45.36,-73.48,251.15,2.6
24,ribeira grande,100,PT,1547941626,100,38.52,-28.7,289.457,1.77
25,jamestown,92,AU,1547941571,77,-33.21,138.6,290.657,2.87
26,cabo san lucas,5,MX,1547937900,34,22.89,-109.91,301.15,3.1
27,puerto ayora,75,EC,1547938800,78,-0.74,-90.35,300.15,5.7
28,ilulissat,80,GL,1547938200,77,69.22,-51.1,259.15,7.2
29,sao filipe,8,CV,1547941628,95,14.9,-24.5,295.207,7.52
30,faya,0,SA,1547938800,81,18.39,42.45,285.15,2.1
31,navahrudak,76,BY,1547941629,91,53.59,25.82,269.357,4.92
32,ostrovnoy,8,RU,1547941629,75,68.05,39.51,248.707,1.22
33,albany,90,US,1547940600,74,42.65,-73.75,269.85,2.1
34,san luis,0,AR,1547941630,31,-33.3,-66.34,299.482,4.52
35,caravelas,0,BR,1547941410,100,-17.73,-39.27,300.407,7.97
36,kapaa,20,US,1547938560,64,22.08,-159.32,299.25,7.2
37,saskylakh,68,RU,1547941631,67,71.97,114.09,242.557,5.57
38,avarua,75,CK,1547938800,78,-21.21,-159.78,301.15,3.6
39,solnechnyy,64,RU,1547941631,65,50.72,136.64,250.507,1.37
40,vaini,0,IN,1547941632,82,15.34,74.49,287.857,1.12
41,busselton,0,AU,1547941632,82,-33.64,115.35,297.007,2.77
42,taungdwingyi,0,MM,1547941632,90,20.0,95.55,285.557,1.87
43,khrebtovaya,76,RU,1547941632,78,56.71,104.25,266.107,3.82
44,zheleznodorozhnyy,40,RU,1547940600,78,55.75,38.0,265.15,2.0
45,bangad,40,PH,1547938800,74,14.36,121.22,299.15,1.0
46,zhongshu,0,CN,1547941634,88,24.52,103.77,276.907,2.07
47,yar-sale,20,RU,1547941634,89,66.83,70.83,256.307,4.67
48,namatanai,92,PG,1547941634,100,-3.66,152.44,299.807,6.07
49,khatanga,64,RU,1547941635,68,71.98,102.47,249.982,4.52
50,kenai,1,US,1547938560,87,60.55,-151.26,264.25,2.87
51,georgetown,75,GY,1547938800,83,6.8,-58.16,300.15,5.1
52,chokurdakh,12,RU,1547941636,0,70.62,147.9,232.107,1.22
53,aurillac,0,FR,1547938800,93,44.93,2.44,275.15,2.6
54,longyearbyen,20,NO,1547938200,76,78.22,15.63,253.15,3.6
55,castro,0,CL,1547938800,64,-42.48,-73.76,293.15,2.6
56,butaritari,44,KI,1547941637,100,3.07,172.79,301.882,5.62
57,winnemucca,20,US,1547938560,54,40.97,-117.74,285.95,4.1
58,itarema,76,BR,1547941638,93,-2.92,-39.92,298.532,2.47
59,aklavik,90,CA,1547938800,76,68.22,-135.01,253.15,1.5
60,matara,20,PE,1547941639,59,-13.74,-72.9,283.557,0.87
61,chuy,48,UY,1547941624,81,-33.69,-53.46,292.207,6.02
62,kingaroy,8,AU,1547938800,57,-26.54,151.84,299.15,3.6
